Found 2030 candidate functions.

[1/2030] Raw: 5.8163 | Validated: 5.8300%
[37/2030] Raw: 5.8163 | Validated: inf%
[38/2030] Raw: 5.8163 | Validated: inf%
[39/2030] Raw: 5.8163 | Validated: inf%
[40/2030] Raw: 5.8163 | Validated: inf%
[41/2030] Raw: 5.8163 | Validated: 5.8300%
[42/2030] Raw: 5.8163 | Validated: 5.8300%
[43/2030] Raw: 5.8163 | Validated: 5.8300%
[44/2030] Raw: 5.8163 | Validated: 5.8300%
[45/2030] Raw: 5.8163 | Validated: 5.8300%
[46/2030] Raw: 5.8163 | Validated: 5.8300%
[47/2030] Raw: 5.8163 | Validated: 5.8300%
[48/2030] Raw: 5.8163 | Validated: 5.8300%
[49/2030] Raw: 5.8163 | Validated: 5.8300%
[50/2030] Raw: 5.8163 | Validated: 5.8300%
[51/2030] Raw: 5.8163 | Validated: 5.8300%
[52/2030] Raw: 5.8163 | Validated: 5.8300%
[53/2030] Raw: 5.8163 | Validated: 5.8300%
[54/2030] Raw: 5.8163 | Validated: 5.8300%
[55/2030] Raw: 5.8163 | Validated: 5.8300%
[56/2030] Raw: 5.8163 | Validated: 5.8300%
[57/2030] Raw: 5.8163 | Validated: 5.9783%
[58/2030] Raw: 5.8163 | Validated: 5.8300%
[59/2030] Raw: 5.8163 | Validated: 5.8300%
[60/2030] Raw: 5.8163 | Validated: 5.8300%
[61/2030] Raw: 5.8163 | Validated: 5.9783%
[62/2030] Raw: 5.8163 | Validated: 5.8300%
[63/2030] Raw: 5.8163 | Validated: 5.8300%
[64/2030] Raw: 5.8163 | Validated: 5.8300%
[65/2030] Raw: 5.8163 | Validated: 5.8300%
[66/2030] Raw: 5.8163 | Validated: 5.9783%
[67/2030] Raw: 5.8163 | Validated: 5.8300%
[68/2030] Raw: 5.8163 | Validated: 5.8300%
[69/2030] Raw: 5.8163 | Validated: 5.8300%
[70/2030] Raw: 5.8163 | Validated: 5.9783%
[71/2030] Raw: 5.8163 | Validated: 5.8300%
[72/2030] Raw: 5.8163 | Validated: inf%
[73/2030] Raw: 5.8163 | Validated: 5.8300%
[74/2030] Raw: 5.8163 | Validated: 5.9783%
[75/2030] Raw: 5.8163 | Validated: inf%
[76/2030] Raw: 5.8163 | Validated: inf%
[77/2030] Raw: 5.8163 | Validated: 5.8300%
[78/2030] Raw: 5.8163 | Validated: 5.9783%
[79/2030] Raw: 5.8163 | Validated: inf%
[80/2030] Raw: 5.8163 | Validated: inf%
[81/2030] Raw: 5.8163 | Validated: 5.9783%
[82/2030] Raw: 5.8163 | Validated: 5.8300%
[83/2030] Raw: 5.8163 | Validated: 5.9783%
[84/2030] Raw: 5.8163 | Validated: 5.8300%
[85/2030] Raw: 5.8163 | Validated: 5.9783%
[86/2030] Raw: 5.8163 | Validated: 5.8300%
[87/2030] Raw: 5.8163 | Validated: 5.9783%
[88/2030] Raw: 5.8163 | Validated: 5.8300%
[89/2030] Raw: 5.8163 | Validated: 5.9783%
[90/2030] Raw: 5.8163 | Validated: 5.8300%
[91/2030] Raw: 5.8163 | Validated: 5.9783%
[92/2030] Raw: 5.8163 | Validated: 5.9783%
[93/2030] Raw: 5.8163 | Validated: 5.8300%
[94/2030] Raw: 5.8163 | Validated: 5.8300%
[95/2030] Raw: 5.8163 | Validated: 5.9783%
[96/2030] Raw: 5.8163 | Validated: 5.9783%
[97/2030] Raw: 5.8163 | Validated: 5.8300%
[98/2030] Raw: 5.8163 | Validated: 5.8300%
[99/2030] Raw: 5.8163 | Validated: 5.9783%
[100/2030] Raw: 5.8163 | Validated: 5.9783%
[101/2030] Raw: 5.8163 | Validated: 5.8300%
[102/2030] Raw: 5.8163 | Validated: 5.8300%
[103/2030] Raw: 5.8163 | Validated: 5.9783%
[104/2030] Raw: 5.8163 | Validated: 5.8300%
[105/2030] Raw: 5.8163 | Validated: 5.9783%
[106/2030] Raw: 5.8163 | Validated: 5.8300%
[107/2030] Raw: 5.8163 | Validated: 5.9783%
[108/2030] Raw: 5.8163 | Validated: 5.8300%
[109/2030] Raw: 5.8163 | Validated: 5.9783%
[110/2030] Raw: 5.8163 | Validated: 5.9783%
[111/2030] Raw: 5.8163 | Validated: 5.8300%
[112/2030] Raw: 5.8163 | Validated: 5.8300%
[113/2030] Raw: 5.8163 | Validated: 5.9783%
[114/2030] Raw: 5.8163 | Validated: inf%
[115/2030] Raw: 5.8163 | Validated: 5.8300%
[116/2030] Raw: 5.8163 | Validated: 5.8300%
[117/2030] Raw: 5.8163 | Validated: 5.9783%
[118/2030] Raw: 5.8163 | Validated: 5.8300%
[119/2030] Raw: 5.8163 | Validated: inf%
[120/2030] Raw: 5.8163 | Validated: inf%
[121/2030] Raw: 5.8163 | Validated: 5.8300%
[122/2030] Raw: 5.8163 | Validated: 5.9783%
[123/2030] Raw: 5.8163 | Validated: 5.8300%
[124/2030] Raw: 5.8163 | Validated: 5.9783%
[125/2030] Raw: 5.8163 | Validated: 5.9783%
[126/2030] Raw: 5.8163 | Validated: 5.8300%
[127/2030] Raw: 5.8163 | Validated: 5.9783%
[128/2030] Raw: 5.8163 | Validated: 5.8300%
[129/2030] Raw: 5.8163 | Validated: 5.8300%
[130/2030] Raw: 5.8163 | Validated: 5.9783%
[131/2030] Raw: 5.8163 | Validated: 5.9783%
[132/2030] Raw: 5.8163 | Validated: 5.8300%
[133/2030] Raw: 5.8163 | Validated: 5.8300%
[134/2030] Raw: 5.8163 | Validated: 5.9783%
[135/2030] Raw: 5.8163 | Validated: 5.9783%
[136/2030] Raw: 5.8163 | Validated: 5.8300%
[137/2030] Raw: 5.8163 | Validated: 5.8300%
[138/2030] Raw: 5.8163 | Validated: 5.9783%
[139/2030] Raw: 5.8163 | Validated: 5.9783%
[140/2030] Raw: 5.8163 | Validated: 5.8300%
[141/2030] Raw: 5.8163 | Validated: 5.8300%
[142/2030] Raw: 5.8163 | Validated: 5.9783%
[143/2030] Raw: 5.8163 | Validated: 5.9783%
[144/2030] Raw: 5.8163 | Validated: 5.8300%
[145/2030] Raw: 5.8163 | Validated: 5.8300%
[146/2030] Raw: 5.8163 | Validated: 5.9783%
[147/2030] Raw: 5.8163 | Validated: 5.9783%
[148/2030] Raw: 5.8163 | Validated: 5.8300%
[149/2030] Raw: 5.8163 | Validated: 5.8300%
[150/2030] Raw: 5.8163 | Validated: 5.9783%
[151/2030] Raw: 5.8163 | Validated: 5.9783%
[152/2030] Raw: 5.8163 | Validated: 5.8300%
[153/2030] Raw: 5.8163 | Validated: 5.9783%
[154/2030] Raw: 5.8163 | Validated: 5.8300%
[155/2030] Raw: 5.8163 | Validated: 5.9783%
[156/2030] Raw: 5.8163 | Validated: inf%
[157/2030] Raw: 5.8163 | Validated: inf%
[158/2030] Raw: 5.8163 | Validated: 5.8300%
[159/2030] Raw: 5.8163 | Validated: 5.9783%
[160/2030] Raw: 5.8163 | Validated: inf%
[161/2030] Raw: 5.8163 | Validated: 5.8300%
[162/2030] Raw: 5.8163 | Validated: 5.9783%
[163/2030] Raw: 5.8163 | Validated: 5.9783%
[164/2030] Raw: 5.8163 | Validated: 5.8300%
[165/2030] Raw: 5.8163 | Validated: 5.9783%
[166/2030] Raw: 5.8163 | Validated: 5.8300%
[167/2030] Raw: 5.8163 | Validated: 5.9783%
[168/2030] Raw: 5.8163 | Validated: 5.8300%
[169/2030] Raw: 5.8163 | Validated: 5.9783%
[170/2030] Raw: 5.8163 | Validated: 5.9783%
[171/2030] Raw: 5.8163 | Validated: 5.8300%
[172/2030] Raw: 5.8163 | Validated: 5.8300%
[173/2030] Raw: 5.8163 | Validated: 5.9783%
[174/2030] Raw: 5.8163 | Validated: 5.9783%
[175/2030] Raw: 5.8163 | Validated: 5.8300%
[176/2030] Raw: 5.8163 | Validated: 5.8300%
[177/2030] Raw: 5.8163 | Validated: 5.9783%
[178/2030] Raw: 5.8163 | Validated: 5.9783%
[179/2030] Raw: 5.8163 | Validated: 5.8300%
[180/2030] Raw: 5.8163 | Validated: 5.8300%
[181/2030] Raw: 5.8163 | Validated: 5.9783%
[182/2030] Raw: 5.8163 | Validated: 5.9783%
[183/2030] Raw: 5.8163 | Validated: 5.8300%
[184/2030] Raw: 5.8163 | Validated: 5.8300%
[185/2030] Raw: 5.8163 | Validated: 5.9783%
[186/2030] Raw: 5.8163 | Validated: 5.9783%
[187/2030] Raw: 5.8163 | Validated: 5.8300%
[188/2030] Raw: 5.8163 | Validated: 5.8300%
[189/2030] Raw: 5.8163 | Validated: 5.9783%
[190/2030] Raw: 5.8163 | Validated: 5.9783%
[191/2030] Raw: 5.8163 | Validated: 5.8300%
[192/2030] Raw: 5.8163 | Validated: 5.8300%
[193/2030] Raw: 5.8163 | Validated: 5.9783%
[194/2030] Raw: 5.8163 | Validated: 5.9783%
[195/2030] Raw: 5.8163 | Validated: 5.8300%
[196/2030] Raw: 5.8163 | Validated: 5.8300%
[197/2030] Raw: 5.8163 | Validated: inf%
[198/2030] Raw: 5.8163 | Validated: inf%
[199/2030] Raw: 5.8163 | Validated: inf%
[200/2030] Raw: 5.8163 | Validated: inf%
[201/2030] Raw: 5.8163 | Validated: 5.9783%
[202/2030] Raw: 5.8163 | Validated: 5.8300%
[203/2030] Raw: 5.8163 | Validated: 5.8300%
[204/2030] Raw: 5.8163 | Validated: 5.9783%
[205/2030] Raw: 5.8163 | Validated: 5.9783%
[206/2030] Raw: 5.8163 | Validated: 5.8300%
[207/2030] Raw: 5.8163 | Validated: 5.8300%
[208/2030] Raw: 5.8163 | Validated: 5.9783%
[209/2030] Raw: 5.8163 | Validated: 5.9783%
[210/2030] Raw: 5.8163 | Validated: 5.8300%
[211/2030] Raw: 5.8163 | Validated: 5.9783%
[212/2030] Raw: 5.8163 | Validated: 5.8300%
[213/2030] Raw: 5.8163 | Validated: 5.9783%
[214/2030] Raw: 5.8163 | Validated: 5.8300%
[215/2030] Raw: 5.8163 | Validated: 5.9783%
[216/2030] Raw: 5.8163 | Validated: 5.8300%
[217/2030] Raw: 5.8163 | Validated: 5.9783%
[218/2030] Raw: 5.8163 | Validated: 5.8300%
[219/2030] Raw: 5.8163 | Validated: 5.9783%
[220/2030] Raw: 5.8163 | Validated: 5.8300%
[221/2030] Raw: 5.8163 | Validated: 5.9783%
[222/2030] Raw: 5.8163 | Validated: 5.9783%
[223/2030] Raw: 5.8163 | Validated: 5.8300%
[224/2030] Raw: 5.8163 | Validated: 5.8300%
[225/2030] Raw: 5.8163 | Validated: 5.9783%
[226/2030] Raw: 5.8163 | Validated: 5.9783%
[227/2030] Raw: 5.8163 | Validated: 5.8300%
[228/2030] Raw: 5.8163 | Validated: 5.8300%
[229/2030] Raw: 5.8163 | Validated: 5.9783%
[230/2030] Raw: 5.8163 | Validated: 5.9783%
[231/2030] Raw: 5.8163 | Validated: 5.8300%
[232/2030] Raw: 5.8163 | Validated: 5.8300%
[233/2030] Raw: 5.8163 | Validated: 5.9783%
[234/2030] Raw: 5.8163 | Validated: 5.9783%
[235/2030] Raw: 5.8163 | Validated: 5.8300%
[236/2030] Raw: 5.8163 | Validated: 5.8300%
[237/2030] Raw: 5.8163 | Validated: inf%
[238/2030] Raw: 5.8163 | Validated: inf%
[239/2030] Raw: 5.8163 | Validated: inf%
[240/2030] Raw: 5.8163 | Validated: inf%
[241/2030] Raw: 5.8163 | Validated: 5.8300%
[242/2030] Raw: 5.8163 | Validated: 5.9783%
[243/2030] Raw: 5.8163 | Validated: 5.8300%
[244/2030] Raw: 5.8163 | Validated: 5.9783%
[245/2030] Raw: 5.8163 | Validated: inf%
[246/2030] Raw: 5.8163 | Validated: 5.9783%
[247/2030] Raw: 5.8163 | Validated: 5.8300%
[248/2030] Raw: 5.8163 | Validated: 5.9783%
[249/2030] Raw: 5.8163 | Validated: 5.8300%
[250/2030] Raw: 5.8163 | Validated: 5.9783%
[251/2030] Raw: 5.8163 | Validated: 5.8300%
[252/2030] Raw: 5.8163 | Validated: 5.9783%
[253/2030] Raw: 5.8163 | Validated: 5.8300%
[254/2030] Raw: 5.8163 | Validated: 5.9783%
[255/2030] Raw: 5.8163 | Validated: 5.8300%
[256/2030] Raw: 5.8163 | Validated: 5.9783%
[257/2030] Raw: 5.8163 | Validated: 5.8300%
[258/2030] Raw: 5.8163 | Validated: 5.8300%
[259/2030] Raw: 5.8163 | Validated: 5.9783%
[260/2030] Raw: 5.8163 | Validated: 5.9783%
[261/2030] Raw: 5.8163 | Validated: 5.8300%
[262/2030] Raw: 5.8163 | Validated: 5.9783%
[263/2030] Raw: 5.8163 | Validated: 5.8300%
[264/2030] Raw: 5.8163 | Validated: 5.9783%
[265/2030] Raw: 5.8163 | Validated: 5.8300%
[266/2030] Raw: 5.8163 | Validated: 5.8300%
[267/2030] Raw: 5.8163 | Validated: 5.9783%
[268/2030] Raw: 5.8163 | Validated: 5.8794%
[269/2030] Raw: 5.8163 | Validated: 5.8300%
[270/2030] Raw: 5.8163 | Validated: 5.8300%
[271/2030] Raw: 5.8163 | Validated: 5.8794%
[272/2030] Raw: 5.8163 | Validated: 5.9783%
[273/2030] Raw: 5.8163 | Validated: 5.8300%
[274/2030] Raw: 5.8163 | Validated: 5.8300%
[275/2030] Raw: 5.8163 | Validated: 5.8794%
[276/2030] Raw: 5.8163 | Validated: 5.9783%
[277/2030] Raw: 5.8163 | Validated: inf%
[278/2030] Raw: 5.8163 | Validated: inf%
[279/2030] Raw: 5.8163 | Validated: inf%
[280/2030] Raw: 5.8163 | Validated: inf%
[281/2030] Raw: 5.8163 | Validated: 5.8300%
[282/2030] Raw: 5.8163 | Validated: 5.9289%
[283/2030] Raw: 5.7143 | Validated: 5.8300%
[284/2030] Raw: 5.8163 | Validated: 5.8300%
[285/2030] Raw: 5.8163 | Validated: 5.8300%
[286/2030] Raw: 5.8163 | Validated: 5.9289%
[287/2030] Raw: 5.7143 | Validated: 5.8300%
[288/2030] Raw: 5.8163 | Validated: 5.8300%
[289/2030] Raw: 5.8163 | Validated: 5.8300%
[290/2030] Raw: 5.8163 | Validated: 5.9289%
[291/2030] Raw: 5.7143 | Validated: 5.8300%
[292/2030] Raw: 5.8163 | Validated: 5.8300%
[293/2030] Raw: 5.8163 | Validated: 5.8300%
[294/2030] Raw: 5.7143 | Validated: 5.8300%
[295/2030] Raw: 5.8163 | Validated: 5.9289%
[296/2030] Raw: 5.8163 | Validated: 5.8300%
[297/2030] Raw: 5.8163 | Validated: 5.8300%
[298/2030] Raw: 5.7143 | Validated: 5.8300%
[299/2030] Raw: 5.8163 | Validated: 5.8300%
[300/2030] Raw: 5.8163 | Validated: 5.9289%
[301/2030] Raw: 5.7143 | Validated: 5.8300%
[302/2030] Raw: 5.8163 | Validated: 5.8300%
[303/2030] Raw: 5.8163 | Validated: 5.8300%
[304/2030] Raw: 5.8163 | Validated: 5.9289%
[305/2030] Raw: 5.7143 | Validated: 5.8300%
[306/2030] Raw: 5.8163 | Validated: 5.8300%
[307/2030] Raw: 5.8163 | Validated: 5.8300%
[308/2030] Raw: 5.8163 | Validated: 5.9289%
[309/2030] Raw: 5.7143 | Validated: 5.8300%
[310/2030] Raw: 5.8163 | Validated: 5.8300%
[311/2030] Raw: 5.8163 | Validated: 5.8300%
[312/2030] Raw: 5.7143 | Validated: 5.8300%
[313/2030] Raw: 5.8163 | Validated: 5.9289%
[314/2030] Raw: 5.8163 | Validated: 5.8300%
[315/2030] Raw: 5.8163 | Validated: 5.8300%
[316/2030] Raw: 5.7143 | Validated: inf%
[317/2030] Raw: 5.8163 | Validated: 5.9289%
[318/2030] Raw: 5.8163 | Validated: inf%
[319/2030] Raw: 5.8163 | Validated: 5.8300%
[320/2030] Raw: 5.8163 | Validated: inf%
[321/2030] Raw: 5.7143 | Validated: 5.8300%
[322/2030] Raw: 5.8163 | Validated: 5.8300%
[323/2030] Raw: 5.8163 | Validated: 5.8300%
[324/2030] Raw: 5.7143 | Validated: 5.8300%
[325/2030] Raw: 5.8163 | Validated: 5.8300%
[326/2030] Raw: 5.7143 | Validated: 5.8300%
[327/2030] Raw: 5.8163 | Validated: 5.8300%
[328/2030] Raw: 5.7143 | Validated: 5.8300%
[329/2030] Raw: 5.7143 | Validated: 5.8300%
[330/2030] Raw: 5.8163 | Validated: 5.8300%
[331/2030] Raw: 5.8163 | Validated: 5.8300%
[332/2030] Raw: 5.7143 | Validated: 5.8300%
[333/2030] Raw: 5.7143 | Validated: 5.8300%
[334/2030] Raw: 5.8163 | Validated: 5.8300%
[335/2030] Raw: 5.8163 | Validated: 5.8300%
[336/2030] Raw: 5.7143 | Validated: 5.8300%
[337/2030] Raw: 5.7143 | Validated: 5.8300%
[338/2030] Raw: 5.8163 | Validated: 5.8300%
[339/2030] Raw: 5.8163 | Validated: 5.8300%
[340/2030] Raw: 5.7143 | Validated: 5.8300%
[341/2030] Raw: 5.7143 | Validated: 5.8300%
[342/2030] Raw: 5.8163 | Validated: 5.8300%
[343/2030] Raw: 5.8163 | Validated: 5.8300%
[344/2030] Raw: 5.7143 | Validated: 5.8300%
[345/2030] Raw: 5.7143 | Validated: 5.8300%
[346/2030] Raw: 5.8163 | Validated: 5.8300%
[347/2030] Raw: 5.8163 | Validated: 5.8300%
[348/2030] Raw: 5.7143 | Validated: 5.8300%
[349/2030] Raw: 5.7143 | Validated: 5.8300%
[350/2030] Raw: 5.8163 | Validated: 5.8300%
[351/2030] Raw: 5.8163 | Validated: 5.8300%
[352/2030] Raw: 5.7143 | Validated: 5.8300%
[353/2030] Raw: 5.7143 | Validated: 5.8300%
[354/2030] Raw: 5.8163 | Validated: 5.8300%
[355/2030] Raw: 5.7143 | Validated: 5.8300%
[356/2030] Raw: 5.8163 | Validated: 5.8300%
[357/2030] Raw: 5.7143 | Validated: inf%
[358/2030] Raw: 5.8163 | Validated: inf%
[359/2030] Raw: 5.7143 | Validated: inf%
[360/2030] Raw: 5.8163 | Validated: inf%
[361/2030] Raw: 5.7143 | Validated: 5.8300%
[362/2030] Raw: 5.7143 | Validated: 5.8300%
[363/2030] Raw: 5.7143 | Validated: 5.8300%
[364/2030] Raw: 5.7143 | Validated: 5.8300%
[365/2030] Raw: 5.7143 | Validated: 5.8300%
[366/2030] Raw: 5.7143 | Validated: 5.8300%
[367/2030] Raw: 5.7143 | Validated: 5.8300%
[368/2030] Raw: 5.7143 | Validated: 5.8300%
[369/2030] Raw: 5.7143 | Validated: 5.8300%
[370/2030] Raw: 5.7143 | Validated: 5.8300%
[371/2030] Raw: 5.7143 | Validated: 5.8300%
[372/2030] Raw: 5.7143 | Validated: 5.8300%
[373/2030] Raw: 5.7143 | Validated: 5.8300%
[374/2030] Raw: 5.7143 | Validated: 5.8300%
[375/2030] Raw: 5.7143 | Validated: 5.8300%
[376/2030] Raw: 5.7143 | Validated: 5.8300%
[377/2030] Raw: 5.7143 | Validated: 5.8300%
[378/2030] Raw: 5.7143 | Validated: 5.8300%
[379/2030] Raw: 5.7143 | Validated: 5.8300%
[380/2030] Raw: 5.7143 | Validated: 5.8300%
[381/2030] Raw: 5.7143 | Validated: 5.8300%
[382/2030] Raw: 5.7143 | Validated: 5.8300%
[383/2030] Raw: 5.7143 | Validated: 5.8300%
[384/2030] Raw: 5.7143 | Validated: 5.8300%
[385/2030] Raw: 5.7143 | Validated: 5.8300%
[386/2030] Raw: 5.7143 | Validated: 5.8300%
[387/2030] Raw: 5.7143 | Validated: 5.8300%
[388/2030] Raw: 5.7143 | Validated: 5.8300%
[389/2030] Raw: 5.7143 | Validated: 5.8300%
[390/2030] Raw: 5.7143 | Validated: 5.8300%
[391/2030] Raw: 5.7143 | Validated: 5.8300%
[392/2030] Raw: 5.7143 | Validated: 5.8300%
[393/2030] Raw: 5.7143 | Validated: 5.8300%
[394/2030] Raw: 5.7143 | Validated: 5.8300%
[395/2030] Raw: 5.7143 | Validated: 5.8300%
[396/2030] Raw: 5.7143 | Validated: 5.8300%
[397/2030] Raw: 5.7143 | Validated: inf%
[398/2030] Raw: 5.7143 | Validated: inf%
[399/2030] Raw: 5.7143 | Validated: inf%
[400/2030] Raw: 5.7143 | Validated: inf%
[401/2030] Raw: 5.7143 | Validated: 5.8300%
[402/2030] Raw: 5.7143 | Validated: 5.8300%
[403/2030] Raw: 5.7143 | Validated: 5.8300%
[404/2030] Raw: 5.7143 | Validated: 5.8300%
[405/2030] Raw: 5.7143 | Validated: 5.8300%
[406/2030] Raw: 5.7143 | Validated: 5.8300%
[407/2030] Raw: 5.7143 | Validated: 5.8300%
[408/2030] Raw: 5.7143 | Validated: 5.8300%
[409/2030] Raw: 5.7143 | Validated: 5.8300%
[410/2030] Raw: 5.7143 | Validated: 5.8300%
[411/2030] Raw: 5.7143 | Validated: 5.8300%
[412/2030] Raw: 5.7143 | Validated: 5.8300%
[413/2030] Raw: 5.7143 | Validated: 5.8300%
[414/2030] Raw: 5.7143 | Validated: 5.8300%
[415/2030] Raw: 5.7143 | Validated: 5.8300%
[416/2030] Raw: 5.7143 | Validated: 5.8300%
[417/2030] Raw: 5.7143 | Validated: 5.8300%
[418/2030] Raw: 5.7143 | Validated: 5.8300%
[419/2030] Raw: 5.7143 | Validated: 5.8300%
[420/2030] Raw: 5.7143 | Validated: 5.8300%
[421/2030] Raw: 5.7143 | Validated: 5.8300%
[422/2030] Raw: 5.7143 | Validated: 5.8300%
[423/2030] Raw: 5.7143 | Validated: 5.8300%
[424/2030] Raw: 5.7143 | Validated: 5.8300%
[425/2030] Raw: 5.7143 | Validated: 5.8300%
[426/2030] Raw: 5.7143 | Validated: 5.8300%
[427/2030] Raw: 5.7143 | Validated: 5.8300%
[428/2030] Raw: 5.7143 | Validated: 5.8300%
[429/2030] Raw: 5.6122 | Validated: 5.8300%
[430/2030] Raw: 5.6122 | Validated: 5.8300%
[431/2030] Raw: 5.7143 | Validated: 5.8300%
[432/2030] Raw: 5.7143 | Validated: 5.8300%
[433/2030] Raw: 5.6122 | Validated: 5.8300%
[434/2030] Raw: 5.6122 | Validated: 5.8300%
[435/2030] Raw: 5.7143 | Validated: 5.8300%
[436/2030] Raw: 5.7143 | Validated: 5.8300%
[437/2030] Raw: 5.6122 | Validated: inf%
[438/2030] Raw: 5.6122 | Validated: inf%
[439/2030] Raw: 5.7143 | Validated: inf%
[440/2030] Raw: 5.7143 | Validated: inf%
[441/2030] Raw: 5.6122 | Validated: 5.8300%
[442/2030] Raw: 5.6122 | Validated: 5.8300%
[443/2030] Raw: 5.6122 | Validated: 5.8300%
[444/2030] Raw: 5.6122 | Validated: 5.8300%
[445/2030] Raw: 5.6122 | Validated: 5.8300%
[446/2030] Raw: 5.6122 | Validated: 5.8300%
[447/2030] Raw: 5.6122 | Validated: 5.8300%
[448/2030] Raw: 5.6122 | Validated: 5.8300%
[449/2030] Raw: 5.6122 | Validated: 5.8300%
[450/2030] Raw: 5.6122 | Validated: 5.8300%
[451/2030] Raw: 5.6122 | Validated: 5.8300%
[452/2030] Raw: 5.6122 | Validated: 5.8300%
[453/2030] Raw: 5.6122 | Validated: 5.8300%
[454/2030] Raw: 5.6122 | Validated: 5.8300%
[455/2030] Raw: 5.6122 | Validated: 5.8300%
[456/2030] Raw: 5.6122 | Validated: 5.8300%
[457/2030] Raw: 5.6122 | Validated: 5.8300%
[458/2030] Raw: 5.6122 | Validated: 5.8300%
[459/2030] Raw: 5.6122 | Validated: 5.8300%
[460/2030] Raw: 5.6122 | Validated: 5.8300%
[461/2030] Raw: 5.6122 | Validated: 5.8300%
[462/2030] Raw: 5.6122 | Validated: 5.8300%
[463/2030] Raw: 5.6122 | Validated: 5.8300%
[464/2030] Raw: 5.6122 | Validated: 5.8300%
[465/2030] Raw: 5.6122 | Validated: 5.8300%
[466/2030] Raw: 5.6122 | Validated: 5.8300%
[467/2030] Raw: 5.6122 | Validated: 5.8300%
[468/2030] Raw: 5.6122 | Validated: 5.8300%
[469/2030] Raw: 5.6122 | Validated: 5.8300%
[470/2030] Raw: 5.6122 | Validated: 5.8300%
[471/2030] Raw: 5.6122 | Validated: 5.8300%
[472/2030] Raw: 5.6122 | Validated: 5.8300%
[473/2030] Raw: 5.6122 | Validated: 5.8300%
[474/2030] Raw: 5.6122 | Validated: 5.8794%
[475/2030] Raw: 5.6122 | Validated: 5.8300%
[476/2030] Raw: 5.6122 | Validated: 5.8300%
[477/2030] Raw: 5.6122 | Validated: inf%
[478/2030] Raw: 5.6122 | Validated: inf%
[479/2030] Raw: 5.6122 | Validated: inf%
[480/2030] Raw: 5.6122 | Validated: inf%
[481/2030] Raw: 5.6122 | Validated: 5.8300%
[482/2030] Raw: 5.6122 | Validated: 5.8300%
[483/2030] Raw: 5.6122 | Validated: 5.8794%
[484/2030] Raw: 5.6122 | Validated: 5.8300%
[485/2030] Raw: 5.6122 | Validated: 5.8300%
[486/2030] Raw: 5.6122 | Validated: 5.8300%
[487/2030] Raw: 5.6122 | Validated: 5.8794%
[488/2030] Raw: 5.6122 | Validated: 5.8300%
[489/2030] Raw: 5.6122 | Validated: 5.8300%
[490/2030] Raw: 5.6122 | Validated: 5.8794%
[491/2030] Raw: 5.6122 | Validated: 5.8300%
[492/2030] Raw: 5.6122 | Validated: 5.8300%
[493/2030] Raw: 5.6122 | Validated: 5.8300%
[494/2030] Raw: 5.6122 | Validated: 5.8794%
[495/2030] Raw: 5.6122 | Validated: 5.8300%
[496/2030] Raw: 5.6122 | Validated: 5.8300%
[497/2030] Raw: 5.6122 | Validated: 5.8300%
[498/2030] Raw: 5.6122 | Validated: 5.8794%
[499/2030] Raw: 5.6122 | Validated: 5.8300%
[500/2030] Raw: 5.6122 | Validated: 5.8300%
[501/2030] Raw: 5.6122 | Validated: 5.8300%
[502/2030] Raw: 5.6122 | Validated: 5.8794%
[503/2030] Raw: 5.6122 | Validated: 5.8300%
